Rial value of the line,Rial value of the line after discount,Rial value of the old line,brand,Rial value of invoice products,packaging,Number of product discounts,Rial discount calculated,Quantity purchased,Distributor,Sum of purchased quantity and product discount,Settlement discount percentage,Riyal volume discount percentage of the invoice,Riyal discount percentage of the line,Basket discount percentage,Discount percentage of the product line,Discount percentage of invoice goods,Percentage of total discounts for one product,Tax percentage on the invoice,Tax percentage on the line,Final tax percentage,invoice date day,invoice year month,The basic price of a product,Invoice serial number,The price of one item for the shopkeeper with all discounts applied,Store code,Shop class,Standard group,Strategic group,Bazar group,Invoice date month,Neighborhoods,Characteristic 2,Characteristic 3,area,Characteristic 1,Numeric area,How to settle,weight,Feature 1,Feature 2
1489600,1489600,1520000,Unknown,33310800,metal can,0,30400,2,Ahoora,2,0,0,2,0,0,0,200.00%,0,0,0,,140101,760000,10195202244,744800,101952,A,Spices and salt,Seasoning and spices,sour dough,,Bala,,,1,,1,1,0,French,
1496977,1496977.44,1755250,Berlin,16726792,Pat,0,258021.75,7,Pishtaz,7,0,0,2,10.02400017,0,2.690000057,1470.00%,0,0,0,,140101,250750,10140203591,213853.92,101402,C,Spices and salt,Seasoning and spices,red pepper,,Jey,,,10,,10,1,75,,
1552828,1497740.76,1504800,Erste,18877000,nylon,0,60192,12,TakhtJamshid,12,4,0,0,0,0,0,400.00%,3.677999973,3.677999973,3.677999973,,140101,125400,10163201883,124811.73,101632,A,Spices and salt,Seasoning and spices,sour dough,,NanBala,,,3,,3,1,50,,
1500000,1500000,1500000,Mahsa,25560000,nylon,0,0,30,Boose,30,0,0,0,0,0,0,0.00%,0,0,0,,140102,50000,10158303509,50000,101583,B,Spices and salt,Seasoning and spices,Baking powder,,Pars,,,4,,4,1,0,,
1500000,1500000,1500000,Unknown,6860000,nylon,0,0,30,Ronisa,30,0,0,0,0,0,0,0.00%,0,0,0,,140103,50000,10142602953,50000,101426,C,Spices and salt,Seasoning and spices,Turmeric,,Ahan,,,22,,22,1,70,,
1500000,1500000,1500000,Unknown,3850000,carton,0,0,30,Ronisa,30,0,0,0,0,0,0,0.00%,0,0,0,,140101,50000,10142602649,50000,101426,C,Spices and salt,Seasoning and spices,Turmeric,,Ahan,,,22,,22,1,50,,
1500000,1500000,1500000,Unknown,5025000,Pat,0,0,15,Arad,15,0,0,0,0,0,0,0.00%,0,0,0,,140102,100000,10113611457,100000,101136,B,Spices and salt,Seasoning and spices,thyme,,Aghdas,,,1,Powder,1,1,0,,
1500000,1500000,1500000,Unknown,5025000,Pat,0,0,15,Arad,15,0,0,0,0,0,0,0.00%,0,0,0,,140102,100000,10113611457,100000,101136,B,Spices and salt,Seasoning and spices,red pepper,,Aghdas,,,1,,1,1,0,,
1500000,1500000,1500000,Unknown,10250000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,150000,10102808470,150000,101028,B,Spices and salt,Seasoning and spices,Baking powder,,Fery,,,5,,5,1,75,,
1500000,1500000,1500000,Unknown,10250000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,150000,10102808470,150000,101028,B,Spices and salt,Seasoning and spices,vanilla,,Fery,,,5,,5,1,3,,
1500000,1500000,1500000,Unknown,5500000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140102,150000,10102808432,150000,101028,B,Spices and salt,Seasoning and spices,Turmeric,,Fery,,,5,,5,1,0,,
1546151,1500170.4,1548000,Frueh,61326000,carton,0,47988,12,Binalood,12,3.089999914,0,0,0,0,0,310.00%,0,3.065000057,3.065000057,,140102,129000,10180004543,125014.2,101800,B,Spices and salt,Seasoning and spices,cardamom,,Ashraf,,,5,,5,1,5,,
1635949,1500870.88,1467520,Setare,2955520,Pat,0,90986.24,8,TakhtJamshid,8,3.171999931,0,3,0,0,0,620.00%,9,9.015999794,9,,140103,183440,10174802804,187608.86,101748,B,Spices and salt,Seasoning and spices,sumac,,Government,,,3,,3,1,80,,
1635950,1500871.6,1467520,Setare,3016952,Pat,0,90986.24,8,TakhtJamshid,8,3.171999931,0,3,0,0,0,620.00%,9,9.015999794,9,,140103,183440,10204001171,187608.95,102040,B,Spices and salt,Seasoning and spices,sumac,,Gharb,,,2,,2,1,80,,
1501560,1501560,1548000,Herkool,4968000,nylon,0,46440,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140102,129000,10195202548,125130,101952,A,Spices and salt,Seasoning and spices,black pepper,,Bala,,,1,,1,1,45,,
1501560,1501560,1548000,Herkool,29296000,nylon,0,46440,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,129000,10182301160,125130,101823,B,Spices and salt,Seasoning and spices,black pepper,,Afsar,,,15,,15,1,45,,
1501560,1501560,1548000,Herkool,5223000,nylon,0,46440,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140103,129000,10175102647,125130,101751,B,Spices and salt,Seasoning and spices,sumac,,Aghdas,,,1,,1,1,80,,
1501560,1501560,1548000,Herkool,27642000,nylon,0,46440,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,129000,10154103117,125130,101541,C,Spices and salt,Seasoning and spices,black pepper,,Winner,,,14,,14,1,45,,
1501560,1501560,1548000,Herkool,17488000,nylon,0,46440,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140102,129000,10148105473,125130,101481,A,Spices and salt,Seasoning and spices,black pepper,,Pashimani,,,7,,7,1,45,,
1501560,1501560,1548000,Herkool,33314000,nylon,0,46440,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,129000,10123012642,125130,101230,B,Spices and salt,Seasoning and spices,sumac,,Satar,,,2,,2,1,80,,
1638229,1502962.16,1549432,Setare,9333448,Pat,0,170437.52,8,TakhtJamshid,8,3.007999897,0,8,0,0,0,1100.00%,9,8.536999702,9,,140102,193679,10181501832,187870.27,101815,C,Spices and salt,Seasoning and spices,garlic powder,,Pars,,,4,,4,1,100,,
1638229,1502962.16,1549432,Setare,10453544,Pat,0,170437.52,8,TakhtJamshid,8,3.007999897,0,8,0,0,0,1100.00%,9,0,9,,140103,193679,10135213492,187870.27,101352,A,Spices and salt,Seasoning and spices,garlic powder,,Kar,,,1,,1,1,100,,
1638229,1502962.16,1549432,Setare,9284644,Pat,0,170437.52,8,TakhtJamshid,8,3.007999897,0,8,0,0,0,1100.00%,9,8.536999702,9,,140102,193679,10106309558,187870.27,101063,B,Spices and salt,Seasoning and spices,garlic powder,,TehranNew,,,13,,13,1,100,,
1639709,1504320.4,1549432,Setare,12702588,Pat,0,168888.088,8,TakhtJamshid,8,2.927999973,0,8,0,0,0,1090.00%,9,0,9,,140102,193679,10152206838,188040.05,101522,C,Spices and salt,Seasoning and spices,garlic powder,,Kasif,,,6,,6,1,100,,
1504512,1504512,1567200,Erste,5886000,Pat,0,62688,6,TakhtJamshid,6,4,0,0,0,0,0,400.00%,0,0,0,,140102,261200,10187402735,250752,101874,A,Spices and salt,Seasoning and spices,sumac,,Marz,,,2,,2,1,100,Red,
1504800,1504800,1584000,Unknown,10992000,nylon,0,79200,6,Archan,6,0,5,0,0,0,0,500.00%,0,0,0,,140103,264000,10202900996,250800,102029,A,Spices and salt,Seasoning and spices,thyme,,Zendan,,,1,Powder,1,1,90,,
1640932,1505441.76,1552848,Setare,2604000,Pat,0,172366.128,8,TakhtJamshid,8,3.012000084,0,3,0,0,5.046000004,1110.00%,9,8.546999931,9,,140101,194106,10138703756,188180.22,101387,C,Spices and salt,Seasoning and spices,Baking powder,,Pars,,,4,,4,1,140,,
1505541,1505540.76,1548000,Herkool,10266000,nylon,0,41796,12,Aroosha,12,2.743000031,0,0,0,0,0,270.00%,0,0,0,,140103,129000,10159402037,125461.73,101594,B,Spices and salt,Seasoning and spices,black pepper,,MazMaz,,,17,,17,1,45,,
1642592,1506965.52,1458996,Setare,12463522,nylon,0,75867.792,12,TakhtJamshid,12,2.240999937,0,3,0,0,0,520.00%,9,0,9,,140102,121583,10148501880,125580.46,101485,D,Spices and salt,Seasoning and spices,Baking powder,,Binam,,,10,,10,1,80,,
1510690,1510690.48,1690000,Herkool,4740000,Pat,1,179140,12,Aroosha,13,2.917999983,0,0,0,7.691999912,0,1060.00%,0,0,0,,140103,130000,10188801009,116206.96,101888,B,Spices and salt,Seasoning and spices,Turmeric,,Jey,,,10,,10,1,100,,
1513784,1513783.96,1690000,Herkool,50026000,Pat,1,175760,12,Aroosha,13,2.734999895,0,0,0,7.691999912,0,1040.00%,0,0,0,,140103,130000,10137003922,116444.92,101370,C,Spices and salt,Seasoning and spices,Turmeric,,Tehranhead,,,21,,21,1,100,,
1514186,1514186.31,1690000,Herkool,5962000,Pat,1,175760,12,Aroosha,13,2.710999966,0,0,0,7.691999912,0,1040.00%,0,0,0,,140103,130000,10111808308,116475.87,101118,B,Spices and salt,Seasoning and spices,Turmeric,,War,,,14,,14,1,100,,
1651219,1514879.6,1672300,Setare,14413568,nylon,0,282618.7,20,TakhtJamshid,20,2.892999887,0,14,0,0,0,1690.00%,9,8.199999809,9,,140102,83615,10151706204,75743.98,101517,B,Spices and salt,Seasoning and spices,vanilla,,Government,,,3,,3,1,3,,
1651638,1515263.84,1549432,Setare,12358898,Pat,0,159591.496,8,TakhtJamshid,8,2.279999971,0,8,0,0,0,1030.00%,9,0,9,,140102,193679,10178501888,189407.98,101785,A,Spices and salt,Seasoning and spices,garlic powder,,Ashraf,,,2,,2,1,100,,
1553531,1515595.84,1549432,Setare,11285096,Pat,0,34087.504,8,TakhtJamshid,8,2.184000015,0,0,0,0,0,220.00%,0,2.503000021,2.503000021,,140103,193679,10148910141,189449.48,101489,B,Spices and salt,Seasoning and spices,garlic powder,,Satar,,,2,,2,1,100,,
1654317,1517722.4,1549432,Setare,12468252,Pat,0,156492.632,8,TakhtJamshid,8,2.134000063,0,8,0,0,0,1010.00%,9,7.208000183,9,,140102,193679,10138004923,189715.3,101380,B,Spices and salt,Seasoning and spices,garlic powder,,NanBala,,,3,,3,1,100,,
1623657,1518827.28,1562400,Gib,12828108,Pat,0,43747.2,6,TakhtJamshid,6,2.789000034,0,0,0,0,0,280.00%,0,6.90199995,6.90199995,,140103,260400,10150006923,253137.88,101500,A,Spices and salt,Seasoning and spices,cumin,,NanBala,,,3,green cumin,3,1,30,A mill,
1520000,1520000,1600000,Setare,11836000,Pat,0,80000,8,Irani,8,0,0,5,0,0,0,500.00%,0,0,0,,140103,200000,10123013404,190000,101230,B,Spices and salt,Seasoning and spices,angelica,,Satar,,,2,,2,1,70,,
1521000,1521000,2340000,Immer,44648000,Pat,0,819000,12,Bal,12,0,0,35,0,0,0,3500.00%,0,0,0,,140102,195000,10151508500,126750,101515,A,Spices and salt,Seasoning and spices,angelica,,Janat,,,5,Powder,5,1,60,,
1658780,1521816.72,1488000,Setare,2955520,Pat,0,92256,8,TakhtJamshid,8,3.171999931,0,3,0,0,0,620.00%,9,9.015999794,9,,140103,186000,10174802804,190227.09,101748,B,Spices and salt,Seasoning and spices,curry spice,,Government,,,3,,3,1,80,,
1658780,1521816.88,1488000,Setare,2737104,Pat,0,92256,8,TakhtJamshid,8,3.171999931,0,3,0,0,0,620.00%,9,0,9,,140103,186000,10203901225,190227.11,102039,B,Spices and salt,Seasoning and spices,curry spice,,Ahan,,,22,,22,1,80,,
1658781,1521817.04,1488000,Setare,2324140,Pat,0,92256,8,TakhtJamshid,8,3.171999931,0,3,0,0,0,620.00%,9,0,9,,140102,186000,10143508569,190227.13,101435,B,Spices and salt,Seasoning and spices,curry spice,,Bicharegi,,,11,,11,1,80,,
1524798,1524798,1540200,Amn,4862136,carton,0,15402,12,Behesht,12,0,0,1,0,0,0,100.00%,0,0,0,,140103,128350,10152303707,127066.5,101523,C,Spices and salt,Seasoning and spices,cardamom,,Jey,,,10,,10,1,0,One shekel,
1524798,1524798,1540200,Amn,15060648,carton,0,15402,12,Behesht,12,0,0,1,0,0,0,100.00%,0,0,0,,140103,128350,10105509955,127066.5,101055,B,Spices and salt,Seasoning and spices,cardamom,,Binam,,,10,,10,1,0,One shekel,
1663019,1525705.6,1447048,Setare,2460664,Pat,0,47752.584,8,TakhtJamshid,8,3.269999981,0,0,0,0,0,330.00%,9,9.303999901,9,,140103,180881,10125806770,190713.2,101258,C,Spices and salt,Seasoning and spices,Paprika pepper,,NanBala,,,3,,3,1,80,,
1639663,1529422.14,1701900,Gib,12468252,Pat,0,171891.9,6,TakhtJamshid,6,2.134000063,0,8,0,0,0,1010.00%,0,7.208000183,7.208000183,,140102,283650,10138004923,254903.69,101380,B,Spices and salt,Seasoning and spices,cumin,,NanBala,,,3,Black cumin,3,1,30,milled,
1681625,1542775.08,1464000,Frueh,1464000,nylon,0,48312,12,Binalood,12,3.319999933,0,0,0,0,0,330.00%,9,9.309000015,9,,140101,122000,10138901253,128564.59,101389,C,Spices and salt,Seasoning and spices,Turmeric,,NanBala,,,3,,3,1,100,,
1547136,1547136,1611600,Erste,2584800,nylon,0,64464,12,TakhtJamshid,12,4,0,0,0,0,0,400.00%,0,0,0,,140102,134300,10174502867,128928,101745,C,Spices and salt,Seasoning and spices,garlic powder,,Usef,,,6,,6,1,70,,
1686546,1547290.16,1467520,Setare,2481136,Pat,0,48428.16,8,TakhtJamshid,8,3.269999981,0,0,0,0,0,330.00%,9,9.303999901,9,,140103,183440,10198800670,193411.27,101988,B,Spices and salt,Seasoning and spices,red pepper,,Usef,,,6,,6,1,90,,
1547469,1547469,1722600,Unknown,72259240,nylon,1,175705.2,11,RK,12,0,0,1.832999945,0,8.333000183,0,1020.00%,0,0,0,,140101,143550,10161408222,128955.75,101614,B,Spices and salt,Seasoning and spices,starch,,Gharb,,,2,starch flower,2,1,0,,
1548000,1548000,2580000,Immer,32100000,Pat,0,1032000,12,Bal,12,0,0,40,0,0,0,4000.00%,0,0,0,,140102,215000,10194802297,129000,101948,C,Spices and salt,Seasoning and spices,Turmeric,,Bala,,,1,,1,1,100,,
1548000,1548000,1548000,Herkool,4416000,nylon,0,0,12,Aroosha,12,0,0,0,0,0,0,0.00%,0,0,0,,140101,129000,10161701285,129000,101617,C,Spices and salt,Seasoning and spices,black pepper,,Pars,,,4,,4,1,45,,
1688077,1548694.56,1514280,Setare,3295784,nylon,0,93885.36,12,TakhtJamshid,12,3.171999931,0,3,0,0,0,620.00%,9,9.015999794,9,,140102,126190,10176902397,129057.88,101769,A,Spices and salt,Seasoning and spices,starch,,Ashraf,,,2,,2,1,150,,
1690342,1550772.72,1552848,Setare,9693280,Pat,0,130439.232,8,TakhtJamshid,8,2.378999949,0,6,0,0,0,840.00%,9,8.791000366,9,,140101,194106,10143406426,193846.59,101434,B,Spices and salt,Seasoning and spices,Baking powder,,Laanat,,,11,,11,1,140,,
1691650,1551972.16,1549432,Setare,4784808,Pat,0,125503.992,8,TakhtJamshid,8,3.105999947,0,5,0,0,0,810.00%,9,8.824000359,9,,140102,193679,10173902888,193996.52,101739,C,Spices and salt,Seasoning and spices,garlic powder,,Usef,,,6,,6,1,100,,
1691974,1552269.48,1458720,Golijan,67541890,nylon,0,35009.28,12,Golijan,12,2.372999907,0,0,0,0,0,240.00%,9,1.741000056,9,,140101,121560,10149905619,129355.79,101499,C,Spices and salt,Seasoning and spices,Turmeric,,Kar,,,1,,1,1,100,,
1694921,1554973.52,1638168,Setare,10801660,Pat,0,211323.672,8,TakhtJamshid,8,2.948999882,0,8,0,0,1.967000008,1290.00%,9,8.36400032,9,,140102,204771,10191201252,194371.69,101912,D,Spices and salt,Seasoning and spices,ginger,,Bala,,,1,,1,1,80,,
1556800,1556800,1556800,Entchen,73983540,nylon,0,0,14,Maman,14,0,0,0,0,0,0,0.00%,0,0,0,,140101,111200,10209600036,111200,102096,B,Spices and salt,Seasoning and spices,red pepper,,Goli,,,22,Powder,22,1,50,,
1697472,1557313.6,1552848,Setare,6518536,Pat,0,124227.84,8,TakhtJamshid,8,2.993000031,0,5,0,0,0,800.00%,9,0,9,,140101,194106,10204000575,194664.2,102040,B,Spices and salt,Seasoning and spices,Baking powder,,Gharb,,,2,,2,1,140,,
1697944,1557747.15,1474440,Ahvaz,6761540,Pat,0,45707.64,15,Pooya,15,3.072999954,0,0,0,0,0,310.00%,9,8.727000237,9,,140102,98296,10208700528,103849.81,102087,B,Spices and salt,Seasoning and spices,garlic powder,,GroserZar,,,3,,3,1,50,,
1699570,1559238.24,1607448,Setare,9284644,nylon,0,176819.28,12,TakhtJamshid,12,3.007999897,0,8,0,0,0,1100.00%,9,8.536999702,9,,140102,133954,10106309558,129936.52,101063,B,Spices and salt,Seasoning and spices,angelica,,TehranNew,,,13,,13,1,50,,
1560000,1560000,1560000,Unknown,3600000,nylon,0,0,13,Ronisa,13,0,0,0,0,0,0,0.00%,0,0,0,,140101,120000,10120805160,120000,101208,C,Spices and salt,Seasoning and spices,Turmeric,,Rey,,,20,,20,1,0,,
1560052,1560052.48,1600000,Setare,22830000,nylon,0,40000,8,Gilan,8,2.496999979,0,0,0,0,0,250.00%,0,0,0,,140103,200000,10161207549,195006.56,101612,B,Spices and salt,Seasoning and spices,red pepper,,Hend,,,6,,6,1,0,,
1701982,1561451.28,1644992,Setare,10801660,Pat,0,212203.968,8,TakhtJamshid,8,2.948999882,0,8,0,0,1.967000008,1290.00%,9,8.36400032,9,,140102,205624,10191201252,195181.41,101912,D,Spices and salt,Seasoning and spices,angelica,,Bala,,,1,,1,1,70,,
1702489,1561916.4,1549432,Setare,12522160,Pat,0,116207.4,8,TakhtJamshid,8,2.517999887,0,5,0,0,0,750.00%,9,0,9,,140102,193679,10102407437,195239.55,101024,B,Spices and salt,Seasoning and spices,garlic powder,,Fery,,,5,,5,1,100,,
1661126,1565268.78,1701900,Gib,5572068,Pat,0,136152,6,TakhtJamshid,6,3.028000116,0,5,0,0,0,800.00%,0,6.124000072,6.124000072,,140102,283650,10177303660,260878.13,101773,A,Spices and salt,Seasoning and spices,cumin,,Mahalat,,,1,Black cumin,1,1,30,milled,
1573286,1573286.1,1820000,Frueh,19940000,nylon,0,247520,10,Binalood,10,2.674000025,0,0,0,0,10.88199997,1360.00%,0,0,0,,140102,182000,10139105754,157328.61,101391,C,Spices and salt,Seasoning and spices,cardamom,,Sadegh,,,2,,2,1,10,,
1575000,1575000,1575000,Mahi,38265062,Pat,0,0,10,Radvin,10,0,0,0,0,0,0,0.00%,0,0,0,,140102,157500,10146802262,157500,101468,C,Spices and salt,Seasoning and spices,black pepper,,Laanat,,,11,,11,1,80,,
1575780,1575779.73,1755250,Berlin,20393000,Pat,0,179035.5,7,Pishtaz,7,0,0,2,0,0,8.225000381,1020.00%,0,0,0,,140102,250750,10209800080,225111.39,102098,B,Spices and salt,Seasoning and spices,cinnamon,,Sadegh,,,2,Powder,2,1,75,,
1720089,1578062.88,1488000,Setare,11159920,Pat,0,40176,8,TakhtJamshid,8,2.703999996,0,0,0,0,0,270.00%,9,9.25,9,,140103,186000,10144207177,197257.86,101442,C,Spices and salt,Seasoning and spices,curry spice,,Eshgh,,,12,,12,1,80,,
1724089,1578836.28,1642128,Golijan,10563096,nylon,0,197055.36,12,Golijan,12,11.95400047,0,0,0,0,0,1200.00%,9.199999809,9.199999809,9.199999809,,140101,136844,10121106803,131569.69,101211,C,Spices and salt,Seasoning and spices,curry spice,,Jey,,,10,,10,1,75,,
1580000,1580000,1580000,Unknown,8750000,nylon,0,0,16,Ronisa,16,0,0,0,0,0,0,0.00%,0,0,0,,140101,98750,10159502152,98750,101595,B,Spices and salt,Seasoning and spices,sour dough,,MazMaz,,,17,,17,1,0,,
1584600,1584600,1668000,Unknown,10992000,nylon,0,83400,6,Archan,6,0,5,0,0,0,0,500.00%,0,0,0,,140103,278000,10202900996,264100,102029,A,Spices and salt,Seasoning and spices,cinnamon,,Zendan,,,1,Wood,1,1,105,,
1727263,1584645.28,1549432,Setare,3016952,Pat,0,96064.784,8,TakhtJamshid,8,3.171999931,0,3,0,0,0,620.00%,9,9.015999794,9,,140103,193679,10204001171,198080.66,102040,B,Spices and salt,Seasoning and spices,garlic powder,,Gharb,,,2,,2,1,100,,
1585950,1585950,1635000,Herkool,29177000,nylon,0,49050,5,Aroosha,5,3,0,0,0,0,0,300.00%,0,0,0,,140102,327000,10172905220,317190,101729,B,Spices and salt,Seasoning and spices,pecan,,TehranNew,,,13,,13,1,1000,bulk,
1585950,1585950,1635000,Herkool,13490000,nylon,0,49050,5,Aroosha,5,3,0,0,0,0,0,300.00%,0,0,0,,140101,327000,10154103000,317190,101541,C,Spices and salt,Seasoning and spices,pecan,,Winner,,,14,,14,1,1000,bulk,
1586469,1586468.94,1767150,Berlin,20393000,Pat,0,180249.3,7,Pishtaz,7,0,0,2,0,0,8.223999977,1020.00%,0,0,0,,140102,252450,10209800080,226638.42,102098,B,Spices and salt,Seasoning and spices,Paprika pepper,,Sadegh,,,2,Powder,2,1,75,,
1635492,1589306.76,1607448,Setare,37179492,nylon,0,17681.928,12,TakhtJamshid,12,1.128999949,0,0,0,0,0,110.00%,0,2.905999899,2.905999899,,140103,133954,10209200822,132442.23,102092,B,Spices and salt,Seasoning and spices,angelica,,Restooran,,,1,,1,1,50,,
1706461,1589682.54,1542600,Erste,7720200,Pat,0,61704,6,TakhtJamshid,6,4,0,0,0,0,0,400.00%,7.346000195,7.346000195,7.346000195,,140103,257100,10187403682,264947.09,101874,A,Spices and salt,Seasoning and spices,Paprika pepper,,Marz,,,2,,2,1,100,,
1590000,1590000,1590000,Lib,1590000,nylon,0,0,30,Bastan,30,0,0,0,0,0,0,0.00%,0,0,0,,140101,53000,10135107813,53000,101351,B,Spices and salt,Seasoning and spices,starch,,Pars,,,4,seed,4,1,0,,
1735702,1592386.92,1714956,Setare,23023046,nylon,0,253813.488,12,TakhtJamshid,12,2.813999891,0,12,0,0,0,1480.00%,9,7.968999863,9,,140102,142913,10205000528,132698.91,102050,A,Spices and salt,Seasoning and spices,cinnamon,,Zendan,,,1,,1,1,50,,
1736812,1593405.36,1714956,Setare,8438256,nylon,0,253813.488,12,TakhtJamshid,12,2.759000063,0,12,0,0,0,1480.00%,9,7.809999943,9,,140101,142913,10178801630,132783.78,101788,B,Spices and salt,Seasoning and spices,cinnamon,,TehranNew,,,13,,13,1,50,,
1739266,1595656.48,1644992,Setare,9585660,Pat,0,180949.12,8,TakhtJamshid,8,3.007999897,0,8,0,0,0,1100.00%,9,8.536999702,9,,140102,205624,10133808584,199457.06,101338,C,Spices and salt,Seasoning and spices,angelica,,Kerman,,,8,,8,1,70,,
1596000,1596000,1680000,Setare,11836000,nylon,0,84000,12,Irani,12,0,0,5,0,0,0,500.00%,0,0,0,,140103,140000,10123013404,133000,101230,B,Spices and salt,Seasoning and spices,starch,,Satar,,,2,,2,1,150,,
1739656,1596015.12,1558896,Damavand,7952040,nylon,0,95092.656,24,Golijan,24,2.072999954,0,3.999000072,0,0,0,610.00%,9,4.762000084,9,,140102,64954,10157901076,66500.63,101579,B,Spices and salt,Seasoning and spices,red pepper,,Kerman,,,8,,8,1,35,,
1740389,1596687.12,1558896,Damavand,2109120,nylon,0,93533.76,24,Golijan,24,1.036000013,0,4.997000217,0,0,0,600.00%,9,8.640000343,9,,140103,64954,10140105086,66528.63,101401,B,Spices and salt,Seasoning and spices,red pepper,,Moeen,,,9,,9,1,35,,
1742001,1598166.48,1720080,Setare,8438256,nylon,0,254571.84,24,TakhtJamshid,24,2.759000063,0,12,0,0,0,1480.00%,9,7.809999943,9,,140101,71670,10178801630,66590.27,101788,B,Spices and salt,Seasoning and spices,starch,,TehranNew,,,13,,13,1,150,,
1606500,1606500,1606500,Berlin,20415535,Pat,0,0,7,Pishtaz,7,0,0,0,0,0,0,0.00%,0,0,0,,140102,229500,10176902435,229500,101769,A,Spices and salt,Seasoning and spices,angelica,,Ashraf,,,2,,2,1,60,,
1751748,1607108.04,1734600,Golijan,331341880,Pat,0,260190,12,Golijan,12,0,0,15,0,0,0,1500.00%,9,0.039999999,9,,140103,144550,10205000797,133925.67,102050,A,Spices and salt,Seasoning and spices,Turmeric,,Zendan,,,1,,1,1,90,,
1608148,1608147.52,2487100,Berlin,3597700,Pat,0,877946.3,14,Pishtaz,14,0,0,2,22.22200012,0,11.11800003,3530.00%,0,0,0,,140101,177650,10135303245,114867.68,101353,A,Spices and salt,Seasoning and spices,Turmeric,,Binam,,,10,,10,1,90,special,
1609974,1609974.24,1651200,Setare,22830000,nylon,0,41280,12,Gilan,12,2.496999979,0,0,0,0,0,250.00%,0,0,0,,140103,137600,10161207549,134164.52,101612,B,Spices and salt,Seasoning and spices,starch,,Hend,,,6,,6,1,0,,
1612800,1612800,1612800,Entchen,73983540,Pat,0,0,6,Maman,6,0,0,0,0,0,0,0.00%,0,0,0,,140101,268800,10209600036,268800,102096,B,Spices and salt,Seasoning and spices,black pepper,,Goli,,,22,salt shaker,22,1,0,,
1757572,1613630.17,1699600,Setare,21603320,Pat,0,202252.4,8,TakhtJamshid,8,5.897999763,0,8,0,0,3.934000015,1780.00%,9,16.72800064,17.36400032,,140102,424900,10191201252,403666.15,101912,D,Spices and salt,Seasoning and spices,thyme,,Bala,,,1,,1,1,100,,
1760571,1615203.2,1612560,Lila,6929780,Pat,0,130617.36,20,TakhtJamshid,20,3.107000113,0,5,0,0,0,810.00%,9,0,9,,140102,80628,10138110006,80760.16,101381,C,Spices and salt,Seasoning and spices,garlic powder,,Fery,,,5,,5,1,50,,
1762516,1616987.4,1596336,Golijan,6073212,Pat,0,113339.856,12,Golijan,12,2.071000099,0,4.999000072,0,0,0,710.00%,9,8.730999947,9,,140102,133028,10174503161,134748.95,101745,C,Spices and salt,Seasoning and spices,thyme,,Usef,,,6,,6,1,35,,
1618800,1618800,1704000,Setare,11836000,Pat,0,85200,8,Irani,8,0,0,5,0,0,0,500.00%,0,0,0,,140103,213000,10123013404,202350,101230,B,Spices and salt,Seasoning and spices,garlic powder,,Satar,,,2,,2,1,80,,
1620000,1620000,1620000,Unknown,4740000,Pat,0,0,12,Ronisa,12,0,0,0,0,0,0,0.00%,0,0,0,,140101,135000,10151202596,135000,101512,C,Spices and salt,Seasoning and spices,Turmeric,,Satar,,,2,,2,1,100,,
1623840,1623840,1910400,Unknown,8990400,nylon,0,286560,24,Ronisa,24,0,15,0,0,0,0,1500.00%,0,0,0,,140102,79600,10126315605,67660,101263,A,Spices and salt,Seasoning and spices,starch,,Sani,,,1,,1,1,0,,
1770862,1624643.6,1672300,Setare,11649808,nylon,0,182280.7,20,TakhtJamshid,20,2.871000051,0,8,0,0,0,1090.00%,9,3.821000099,9,,140102,83615,10141608140,81232.18,101416,C,Spices and salt,Seasoning and spices,vanilla,,Usef,,,6,,6,1,3,,
1773906,1627436.64,1605684,Golijan,9540180,nylon,0,112397.88,12,Golijan,12,2.015000105,0,4.999000072,0,0,0,700.00%,9,3.976999998,9,,140102,133807,10200500786,135619.72,102005,B,Spices and salt,Seasoning and spices,Baking powder,,Oil,,,1,,1,1,75,,
1775326,1628739.6,1642128,Golijan,9439920,nylon,0,147791.52,12,Golijan,12,2.006000042,0,6.999000072,0,0,0,900.00%,9,8.541000366,9,,140102,136844,10152504089,135728.3,101525,B,Spices and salt,Seasoning and spices,red pepper,,4Rah,,,10,,10,1,75,,
1780683,1633654.48,1549432,Setare,6987956,Pat,0,51131.256,8,TakhtJamshid,8,3.269999981,0,0,0,0,0,330.00%,9,0,9,,140103,193679,10207100580,204206.81,102071,B,Spices and salt,Seasoning and spices,garlic powder,,Zendan,,,1,,1,1,100,,
